1           0.           0.  0.200000003
      2           0.  0.200000003  0.200000003
      3           0.  0.200000003           0.
      4           0.           0.           0.
      5          1.5  0.200000003  0.200000003
      6          1.5  0.200000003  0.100000001
      7          1.5  0.200000003           0.
      8          1.5           0.           0.
      9          1.5           0.  0.200000003
     10           0.  0.100000001  0.200000003
     11           0.  0.200000003  0.100000001
     12           0.  0.100000001           0.
     13           0.           0.  0.100000001
     14  0.100000001  0.200000003  0.200000003
     15  0.200000003  0.200000003  0.200000003
     16  0.300000012  0.200000003  0.200000003
     17  0.400000006  0.200000003  0.200000003
     18          0.5  0.200000003  0.200000003
     19  0.600000024  0.200000003  0.200000003
     20  0.699999988  0.200000003  0.200000003
     21  0.800000012  0.200000003  0.200000003
     22  0.899999976  0.200000003  0.200000003
     23           1.  0.200000003  0.200000003
     24   1.10000002  0.200000003  0.200000003
     25   1.20000005  0.200000003  0.200000003
     26   1.29999995  0.200000003  0.200000003
     27   1.39999998  0.200000003  0.200000003
     28   1.39999998  0.200000003           0.
     29   1.29999995  0.200000003           0.
     30   1.20000005  0.200000003           0.
     31   1.10000002  0.200000003           0.
     32           1.  0.200000003           0.
     33  0.899999976  0.200000003           0.
     34  0.800000012  0.200000003           0.
     35  0.699999988  0.200000003           0.
     36  0.600000024  0.200000003           0.
     37          0.5  0.200000003           0.
     38  0.400000006  0.200000003           0.
     39  0.300000012  0.200000003           0.
     40  0.200000003  0.200000003           0.
     41  0.100000001  0.200000003           0.
     42          1.5  0.100000001           0.
     43   1.39999998           0.           0.
     44   1.29999995           0.           0.
     45   1.20000005           0.           0.
     46   1.10000002           0.           0.
     47           1.           0.           0.
     48  0.899999976           0.           0.
     49  0.800000012           0.           0.
     50  0.699999988           0.           0.
     51  0.600000024           0.           0.
     52          0.5           0.           0.
     53  0.400000006           0.           0.
     54  0.300000012           0.           0.
     55  0.200000003           0.           0.
     56  0.100000001           0.           0.
     57   1.39999998           0.  0.200000003
     58   1.29999995           0.  0.200000003
     59   1.20000005           0.  0.200000003
     60   1.10000002           0.  0.200000003
     61           1.           0.  0.200000003
     62  0.899999976           0.  0.200000003
     63  0.800000012           0.  0.200000003
     64  0.699999988           0.  0.200000003
     65  0.600000024           0.  0.200000003
     66          0.5           0.  0.200000003
     67  0.400000006           0.  0.200000003
     68  0.300000012           0.  0.200000003
     69  0.200000003           0.  0.200000003
     70  0.100000001           0.  0.200000003
     71          1.5           0.  0.100000001
